Nombre;Valor
accSalidaCogidaM1;<sin valor>
accConPiezaM1;<sin valor>
accSinPiezaM1;<sin valor>
vAntDejadaM1;<sin valor>
vAntCogidaM1;<sin valor>
vCogidaM1;<sin valor>
vCogidaAux1M1;<sin valor>
vDejadaM1;<sin valor>
vDejadaAux3M1;<sin valor>
vDejadaAux2M1;<sin valor>
vDejadaAux1M1;<sin valor>
vFueraPosCnvM1;<sin valor>
vFueraAntCnvM1;<sin valor>
vFueraPosMesaM1;<sin valor>
vFueraAntMesaM1;<sin valor>
vPosDejadaM1;<sin valor>
vPosDejadaAux1M1;<sin valor>
vPosCogidaM1;<sin valor>
vPosCogidaAux1M1;<sin valor>
zAntDejadaM1;<sin valor>
zAntCogidaM1;<sin valor>
zCogidaM1;<sin valor>
zCogidaAux1M1;<sin valor>
zDejadaM1;<sin valor>
zDejadaAux3M1;<sin valor>
zDejadaAux2M1;<sin valor>
zDejadaAux1M1;<sin valor>
zFueraPosCnvM1;<sin valor>
zFueraAntCnvM1;<sin valor>
zFueraPosMesaM1;<sin valor>
zFueraAntMesaM1;<sin valor>
zPosDejadaM1;<sin valor>
zPosDejadaAux1M1;<sin valor>
zPosCogidaM1;<sin valor>
zPosCogidaAux1M1;<sin valor>
