Nombre;Valor
bAlcanceDes2;<sin valor>
bLuminaria;<sin valor>
bMechUnitIsNotMovingF_Pos;<sin valor>
bMoverBrazosF_Pos;<sin valor>
bMoverBrazos;<sin valor>
bCargaUtil;<sin valor>
bWobj_cnv1;<sin valor>
bHerramienta2;<sin valor>
bMovBrazo;<sin valor>
bMechUnitIsNotMovingF_Neg;<sin valor>
bMoverBrazosF_Neg;<sin valor>
bHerramienta4;<sin valor>
bAlcanceDes1;<sin valor>
bEnCiclo;<sin valor>
bPisadorOn;<sin valor>
bCicloContinuo;<sin valor>
bHerramienta1;<sin valor>
bMechUnitIsNotMoving;<sin valor>
bCamaraCinta;<sin valor>
bHerramienta3;<sin valor>
bMechUnitIsNotMovingM;<sin valor>
bMoverBrazosM;<sin valor>
bOffsetM2;<sin valor>
