Nombre;Valor
nAlturaCol;<sin valor>
nZ_Mesa;<sin valor>
nTmpAntSopCaja;<sin valor>
nTmpPosVacCaja;<sin valor>
nTramo;<sin valor>
nCota_X;<sin valor>
nTipoEstrategia;<sin valor>
nTiempoCiclo;<sin valor>
nOffPosDejadaAux;<sin valor>
nOffDejadaAux;<sin valor>
nOffPosCogidaAux;<sin valor>
nOffCogidaAux;<sin valor>
nAngulo;<sin valor>
nAlcance;<sin valor>
nY_Ancho;<sin valor>
nEstrategia;<sin valor>
nTmpPosDejada;<sin valor>
nTmpAntDejada;<sin valor>
nTmpPosCogida;<sin valor>
nTmpAntCogida;<sin valor>
nRotacionDejada;<sin valor>
nX_Largo;<sin valor>
nZ_Alto;<sin valor>
nAproxDejadaZ;<sin valor>
nAnguloInclinacionZx2;<sin valor>
nY_Mesa;<sin valor>
nRz_Mesa;<sin valor>
nRy_Mesa;<sin valor>
nRx_Mesa;<sin valor>
nAproxDejadaY;<sin valor>
nTmpPulsoSoplado;<sin valor>
nMesaCiclo;<sin valor>
nAnguloInclinacionZy2;<sin valor>
nFueraPosCnv;<sin valor>
nFueraAntCnv;<sin valor>
nTmpPosCogida2;<sin valor>
nTmpPosSopVentosa;<sin valor>
nAproxDejadaX;<sin valor>
nCorrecionZ;<sin valor>
nCorrecionRZ;<sin valor>
nMargenRotZ;<sin valor>
nAltoCaja;<sin valor>
nFueraPosMesa;<sin valor>
nFueraAntMesa;<sin valor>
nCorrecionY;<sin valor>
nCorrecionRY;<sin valor>
nAnguloInclinacionZy;<sin valor>
nX_Mesa;<sin valor>
nOrientacionCogida;<sin valor>
nOrientacionDejada;<sin valor>
nOffPosDejada;<sin valor>
nOffAntDejada;<sin valor>
nOffPosCogida;<sin valor>
nOffAntCogida;<sin valor>
nMargenRotZ_2;<sin valor>
nCorrecionX;<sin valor>
nCota_Y;<sin valor>
nCorrecionRX;<sin valor>
nAnguloInclinacionZx;<sin valor>
