Nombre;Valor
pDejada2;<sin valor>
pDejadaAux5;<sin valor>
pDejadaAux1;<sin valor>
pAntCogidaAux1;<sin valor>
pTrans;<sin valor>
pPosDejada;<sin valor>
pDejadaAux4;<sin valor>
pPosCogida;<sin valor>
pDejada;<sin valor>
pDejadaAux3;<sin valor>
pFueraPosMesa;<sin valor>
pFueraAntMesa;<sin valor>
pFueraAnt2Cnv1_Aux1;<sin valor>
pFueraAntCnv1_Aux1;<sin valor>
pCogidaAux1;<sin valor>
pFueraAntMesaA1;<sin valor>
pDejadaAux6;<sin valor>
pFueraPosCnv1;<sin valor>
pFueraAnt2Cnv1;<sin valor>
pFueraAntCnv1;<sin valor>
pDejadaAux2;<sin valor>
pCogida;<sin valor>
pAntDejada;<sin valor>
pAntCogida;<sin valor>
pCogidaAGV;<sin valor>
pPosDejadaAux1;<sin valor>
pPosCogidaAux1;<sin valor>
