Nombre;Valor
bCogidaAux;<sin valor>
bSimetrica;<sin valor>
bFueraAntMesaA1;<sin valor>
bOmitir_pAntCogida;<sin valor>
bVentAux2;<sin valor>
bVentLargo;<sin valor>
bDejadaAux;<sin valor>
bAlturaVolM1;<sin valor>
bAnguloRecto;<sin valor>
bColumna;<sin valor>
bFromHome;<sin valor>
bPosY_VolM1;<sin valor>
bAnularFiltroVision3D;<sin valor>
bVentAnillo;<sin valor>
bPosDejadaAux;<sin valor>
bPosCogidaAux;<sin valor>
bMemAlturaMinima;<sin valor>
bModoSinConveyorTracking;<sin valor>
bCorrecion;<sin valor>
bGrande;<sin valor>
bVentCorto;<sin valor>
bDefecto;<sin valor>
bEstrategia;<sin valor>
bVentAux1;<sin valor>
bAlcanceDes;<sin valor>
bAlturaMod;<sin valor>
bCicloAdelantado;<sin valor>
bModoSinCamara3D;<sin valor>
