Nombre;Valor
accConPieza;<sin valor>
accSinPieza;<sin valor>
zPosDejada;<sin valor>
zPosCogida;<sin valor>
zFueraAntCnvAux;<sin valor>
zDejadaAux1;<sin valor>
zDejada;<sin valor>
vPosDejada;<sin valor>
vPosCogida;<sin valor>
zDejadaAux2;<sin valor>
zTest;<sin valor>
vDejada;<sin valor>
vFueraPosCnv;<sin valor>
vFueraAntCnv;<sin valor>
vDejadaAux2;<sin valor>
zDejadaAux3;<sin valor>
zFueraPosMesa;<sin valor>
zFueraAntMesa;<sin valor>
vDejadaAux5;<sin valor>
vFueraAntCnvAux;<sin valor>
vFueraPosMesa;<sin valor>
vFueraAntMesa;<sin valor>
zFueraPosCnv;<sin valor>
zFueraAntCnv;<sin valor>
zCogida;<sin valor>
zAntDejada;<sin valor>
zAntCogida;<sin valor>
vCogidaAux1;<sin valor>
vDejadaAux3;<sin valor>
vCogida;<sin valor>
vAntDejada;<sin valor>
vAntCogida;<sin valor>
vDejadaAux6;<sin valor>
vPosDejadaAux1;<sin valor>
vPosCogidaAux1;<sin valor>
zCogidaAux1;<sin valor>
accSalidaCogida;<sin valor>
vDejadaAux1;<sin valor>
zPosDejadaAux1;<sin valor>
zPosCogidaAux1;<sin valor>
vDejadaAux4;<sin valor>
