Nombre;Valor
nFueraPosCnvM1;<sin valor>
nFueraAntCnvM1;<sin valor>
nFueraPosMesaM1;<sin valor>
nFueraAntMesaM1;<sin valor>
nOrientacionCogidaMem1;<sin valor>
nOffPosDejadaM1;<sin valor>
nOffPosDejadaAuxM1;<sin valor>
nOffDejadaAuxM1;<sin valor>
nOffAntDejadaM1;<sin valor>
nOffPosCogidaM1;<sin valor>
nOffPosCogidaAuxM1;<sin valor>
nOffCogidaAuxM1;<sin valor>
nOffAntCogidaM1;<sin valor>
nTmpAntSopCajaM1;<sin valor>
nTmpPulsoSopladoM1;<sin valor>
nTmpPosSopVentosaM1;<sin valor>
nTmpPosDejadaM1;<sin valor>
nTmpAntDejadaM1;<sin valor>
nTmpPosVacCajaM1;<sin valor>
nTmpPosCogida2M1;<sin valor>
nTmpPosCogidaM1;<sin valor>
nTmpAntCogidaM1;<sin valor>
nX_LargoM1;<sin valor>
nY_AnchoM1;<sin valor>
nZ_AltoM1;<sin valor>
