Nombre;Valor
nIrHome;<sin valor>
nEsperaSuccionAnillo;<sin valor>
nHomeT1;<sin valor>
nIrMain;<sin valor>
nvPosDejadaMax;<sin valor>
nvPosDejadaAux1Max;<sin valor>
nvRotDejadaMax;<sin valor>
nvDejadaMax;<sin valor>
nvDejadaAux3Max;<sin valor>
nvDejadaAux2Max;<sin valor>
nvDejadaAux1Max;<sin valor>
nvAntDejadaMax;<sin valor>
nvFueraPosCnvMax;<sin valor>
nvFueraAntCnvMax;<sin valor>
nvFueraPosMesaMax;<sin valor>
nvFueraAntMesaMax;<sin valor>
nvPosCogidaMax;<sin valor>
nvPosCogidaAux1Max;<sin valor>
nvCogidaMax;<sin valor>
nvCogidaAux1Max;<sin valor>
nvAntCogidaMax;<sin valor>
nHome;<sin valor>
nTorque_E3;<sin valor>
nM2IrPosicionEsperaCaja;<sin valor>
nM1IrPosicionEsperaCaja;<sin valor>
nLimiteAlcance;<sin valor>
nCNV1Position;<sin valor>
nM2CalibCamara;<sin valor>
nM1CalibCamara;<sin valor>
nDistAntDejadaMin;<sin valor>
nTorque_E2;<sin valor>
nM1M2DejarPieza;<sin valor>
nM2DejarPieza;<sin valor>
nM2CogerPieza;<sin valor>
nM1DejarPieza;<sin valor>
nM1CogerPieza;<sin valor>
nM2EsperaDejadaPieza;<sin valor>
nM1EsperaDejadaPieza;<sin valor>
nAlturaPieza2;<sin valor>
nM2GetCalibOK;<sin valor>
nM2CalibCamaraOK;<sin valor>
nM1GetCalibOK;<sin valor>
nM1CalibCamaraOK;<sin valor>
nAlturaMaximaPale;<sin valor>
nTimeOutGarraSup;<sin valor>
nAlturaPieza1;<sin valor>
nMain;<sin valor>
nTimeOutGarraMov;<sin valor>
nTorque_E6;<sin valor>
nTorque_E1;<sin valor>
nVelCinta;<sin valor>
nMantenimiento;<sin valor>
nM2GetCalib;<sin valor>
nM1GetCalib;<sin valor>
nM2IrPosicionSobreMesa;<sin valor>
nM1IrPosicionSobreMesa;<sin valor>
nM2EsperaDejadaPiezaT2;<sin valor>
nM2PosicionSobreMesa;<sin valor>
nM1EsperaDejadaPiezaT2;<sin valor>
nM1PosicionSobreMesa;<sin valor>
nTimeOutVacuo;<sin valor>
nTorque_E5;<sin valor>
nIrMantenimiento;<sin valor>
nM1M2MesaHomeT1;<sin valor>
nM1M2PiezaColocadaT1;<sin valor>
nM2GetCalibOK_T1;<sin valor>
nM2CalibCamaraOK_T1;<sin valor>
nM2MesaHomeT1;<sin valor>
nM2PiezaColocadaT1;<sin valor>
nM2EsperaDejadaPiezaT1;<sin valor>
nM2PiezaCogidaT1;<sin valor>
nM2PosicionSobreMesaT1;<sin valor>
nM1GetCalibOK_T1;<sin valor>
nM1CalibCamaraOK_T1;<sin valor>
nM1MesaHomeT1;<sin valor>
nM1PiezaColocadaT1;<sin valor>
nM1EsperaDejadaPiezaT1;<sin valor>
nM1PiezaCogidaT1;<sin valor>
nM1PosicionSobreMesaT1;<sin valor>
nMantenimientoT1;<sin valor>
nM1M2PiezaColocada;<sin valor>
nM1M2AspiracionDesactivada;<sin valor>
nM2PiezaColocada;<sin valor>
nM2AspiracionDesactivada;<sin valor>
nM2PiezaCogida;<sin valor>
nM2ApiracionActivada;<sin valor>
nM1PiezaColocada;<sin valor>
nM1AspiracionDesactivada;<sin valor>
nM1PiezaCogida;<sin valor>
nM1ApiracionActivada;<sin valor>
ngoPosicionAlcanzada;<sin valor>
nAlturaFueraPosMesa;<sin valor>
nAltura_pCogida;<sin valor>
nAlturaToolDejada;<sin valor>
nTorque_E4;<sin valor>
