Nombre;Valor
rxMin;<sin valor>
nY_Neg_bL_On;<sin valor>
nY_Pos_bC_On;<sin valor>
nLimitePiezasFinas;<sin valor>
intVacuo_Caja;<sin valor>
intPresencia_Caja;<sin valor>
nDistTriggSupCog;<sin valor>
nY_Neg_bL_Off;<sin valor>
nY_Pos_bC_Off;<sin valor>
intModSupervisionCogida;<sin valor>
intActSupervisionDejada;<sin valor>
intSupervisionDejada;<sin valor>
nRadioCol;<sin valor>
nAtaqueY;<sin valor>
nCoefAccConPieza;<sin valor>
nCoefAccSinPieza;<sin valor>
nAlturaVolM1;<sin valor>
xMax;<sin valor>
nCorrecionRZ_M1;<sin valor>
nCorrecionRY_M1;<sin valor>
nCorrecionRX_M1;<sin valor>
nCorrecionZ_M1;<sin valor>
nCorrecionY_M1;<sin valor>
nCorrecionX_M1;<sin valor>
nCotaYVolM1;<sin valor>
nAlturaInclinacion2;<sin valor>
ryMin;<sin valor>
nX_Pos;<sin valor>
ryMax;<sin valor>
nPasoColision;<sin valor>
nDiferenciaZ;<sin valor>
nAtaqueX;<sin valor>
nTiempoSuccion;<sin valor>
intDesactPisador;<sin valor>
rzMin;<sin valor>
nCoefErrorRef;<sin valor>
nAnguloInclinacionY;<sin valor>
nDiferenciaY;<sin valor>
nDistanciaPuntos;<sin valor>
nFinCalib;<sin valor>
nTimeOutIntCaida;<sin valor>
nAnguloInclinacionX;<sin valor>
nPasoBusqueda;<sin valor>
nDiferenciaX;<sin valor>
nAnguloInclinacionX2;<sin valor>
zMin;<sin valor>
nOffsetAlturaCaja;<sin valor>
YMin;<sin valor>
xMin;<sin valor>
nRadioDef;<sin valor>
nAlturaMinimaEntradaPale;<sin valor>
nCoeficiente;<sin valor>
nTiempoSoplado;<sin valor>
nOffDejadaZ;<sin valor>
nMargenAlturaCogidaMin;<sin valor>
rxMax;<sin valor>
nTiempoMov;<sin valor>
nLimiteCinta;<sin valor>
nAnguloInclinacionY2;<sin valor>
nTmpVelFueraPosMesa;<sin valor>
nTmpVelDejadaAux1;<sin valor>
nTmpVelCogidaAux1;<sin valor>
nRotBrazos;<sin valor>
nOffDejadaY;<sin valor>
nTmpVelFueraAntCnv1;<sin valor>
rzMax;<sin valor>
nX_Neg;<sin valor>
intVacuo_bAux1;<sin valor>
nOffOrientCol;<sin valor>
nAlturaInclinacion;<sin valor>
intVacuo_bCorto;<sin valor>
zMax;<sin valor>
nOffsetSalidaMesa;<sin valor>
nOffCogidaAuxMin;<sin valor>
intVacuo_Anillo;<sin valor>
nOffsetEnlaceMesa2;<sin valor>
nRot_bCorto;<sin valor>
nRot_bLargo;<sin valor>
intVacuo_bLargo;<sin valor>
nSupDejada;<sin valor>
nSupCogida;<sin valor>
nLimite;<sin valor>
intVacuo_bAux2;<sin valor>
nMargenColisionCogida;<sin valor>
nMargenAlturaCogida;<sin valor>
nSupDef;<sin valor>
nOffDejadaX;<sin valor>
nCoefAccSalidaCogida;<sin valor>
nBackOff;<sin valor>
nIniCalib;<sin valor>
nAltura_pAntDejada;<sin valor>
yMax;<sin valor>
nCorrecionRZ_M2;<sin valor>
nCorrecionRY_M2;<sin valor>
nCorrecionRX_M2;<sin valor>
nCorrecionZ_M2;<sin valor>
nCorrecionY_M2;<sin valor>
nCorrecionX_M2;<sin valor>
