Nombre;Valor
pM2_3;<sin valor>
pM1_3;<sin valor>
pM2_10;<sin valor>
pM1_10;<sin valor>
pM2_25;<sin valor>
pM1_25;<sin valor>
pM2_6;<sin valor>
pM1_6;<sin valor>
pM2_13;<sin valor>
pM1_13;<sin valor>
pFueraPosMesa_2;<sin valor>
pFueraAntM2_2;<sin valor>
pFueraAntM1_2;<sin valor>
pM2_9;<sin valor>
pM1_9;<sin valor>
pM2_16;<sin valor>
pM1_16;<sin valor>
pM2_21;<sin valor>
pM1_21;<sin valor>
pM2_2;<sin valor>
pM1_2;<sin valor>
pM2_19;<sin valor>
pM1_19;<sin valor>
pM2_24;<sin valor>
pM1_24;<sin valor>
pM2_5;<sin valor>
pM1_5;<sin valor>
pFueraAntCNV1_1;<sin valor>
pFueraPosMesa_1;<sin valor>
pFueraAntM2_1;<sin valor>
pFueraAntM1_1;<sin valor>
pM2_12;<sin valor>
pM1_12;<sin valor>
pM2_27;<sin valor>
pM1_27;<sin valor>
pM2_8;<sin valor>
pM1_8;<sin valor>
pM2_15;<sin valor>
pM1_15;<sin valor>
pM2_20;<sin valor>
pM1_20;<sin valor>
pM2_1;<sin valor>
pM1_1;<sin valor>
pFueraPosMesa_4;<sin valor>
pFueraAntM2_4;<sin valor>
pFueraAntM1_4;<sin valor>
pM2_18;<sin valor>
pM1_18;<sin valor>
pM2_23;<sin valor>
pM1_23;<sin valor>
lcl_robtarget;<sin valor>
pM2_4;<sin valor>
pM1_4;<sin valor>
pM2_11;<sin valor>
pM1_11;<sin valor>
pTransRef;<sin valor>
pM2_26;<sin valor>
pM1_26;<sin valor>
pFueraAntM2_4_A1;<sin valor>
pFueraAntM2_3_A1;<sin valor>
pFueraAntM2_2_A1;<sin valor>
pFueraAntM2_1_A1;<sin valor>
pFueraAntM1_4_A1;<sin valor>
pFueraAntM1_3_A1;<sin valor>
pFueraAntM1_2_A1;<sin valor>
pFueraAntM1_1_A1;<sin valor>
pM2_7;<sin valor>
pM1_7;<sin valor>
pFueraPosMesa2_Cnv1;<sin valor>
pM2_14;<sin valor>
pM1_14;<sin valor>
pFueraPosMesa_3;<sin valor>
pFueraAntM2_3;<sin valor>
pFueraAntM1_3;<sin valor>
pCogidaSearch;<sin valor>
pM2_17;<sin valor>
pM1_17;<sin valor>
pM2_22;<sin valor>
pM1_22;<sin valor>
pAlturaM1M2;<sin valor>
