Nombre;Valor
accSalidaCogidaM2;<sin valor>
accConPiezaM2;<sin valor>
accSinPiezaM2;<sin valor>
zPosDejadaM2;<sin valor>
zPosDejadaAux1M2;<sin valor>
zDejadaM2;<sin valor>
zDejadaAux3M2;<sin valor>
zDejadaAux2M2;<sin valor>
zDejadaAux1M2;<sin valor>
zAntDejadaM2;<sin valor>
zFueraPosCnvM2;<sin valor>
zFueraAntCnvM2;<sin valor>
zFueraPosMesaM2;<sin valor>
zFueraAntMesaM2;<sin valor>
zPosCogidaM2;<sin valor>
zPosCogidaAux1M2;<sin valor>
zCogidaM2;<sin valor>
zCogidaAux1M2;<sin valor>
zAntCogidaM2;<sin valor>
vPosDejadaM2;<sin valor>
vPosDejadaAux1M2;<sin valor>
vDejadaM2;<sin valor>
vDejadaAux3M2;<sin valor>
vDejadaAux2M2;<sin valor>
vDejadaAux1M2;<sin valor>
vAntDejadaM2;<sin valor>
vFueraPosCnvM2;<sin valor>
vFueraAntCnvM2;<sin valor>
vFueraPosMesaM2;<sin valor>
vFueraAntMesaM2;<sin valor>
vPosCogidaM2;<sin valor>
vPosCogidaAux1M2;<sin valor>
vCogidaM2;<sin valor>
vCogidaAux1M2;<sin valor>
vAntCogidaM2;<sin valor>
