Nombre;V_tcp;V_ori;V_leax;V_reax
vPosDejada;1000;500;5000;1000
vPosCogida;1000;500;5000;1000
vDejada;50;10;5000;1000
vFueraPosCnv;3000;500;5000;1000
vFueraAntCnv;3000;500;5000;1000
vDejadaAux2;200;10;5000;1000
vDejadaAux5;200;10;5000;1000
vFueraAntCnvAux;1000;500;5000;1000
vFueraPosMesa;3000;500;5000;1000
vFueraAntMesa;3000;500;5000;1000
vCogidaAux1;2214;500;5000;1000
vDejadaAux3;200;10;5000;1000
vCogida;500;500;5000;1000
vAntDejada;800;500;5000;1000
vAntCogida;3000;500;5000;1000
vDejadaAux6;200;10;5000;1000
vPosDejadaAux1;500;500;5000;1000
vPosCogidaAux1;30;500;5000;1000
vDejadaAux1;100;10;5000;1000
vDejadaAux4;10;10;5000;1000
