Nombre;Mass;Cog.X;Cog.Y;Cog.Z;Aom.Q1;Aom.Q2;Aom.Q3;Aom.Q4;Ix;Iy;Iz
tLoad29;58,31;19,8;3,7;257,4;1;0;0;0;7,134;7,102;2,083
tLoad27;58,31;19,4;10,2;256,8;1;0;0;0;7,279;7,711;2,052
tLoad19;58,31;14,4;10,6;243,6;1;0;0;0;6,241;7,056;1,87
tLoad25;58,31;19,3;7,5;249,1;1;0;0;0;6,771;7,102;1,949
tLoad31;58,31;18,8;8,5;270,9;1;0;0;0;7,313;7,653;2,24
tLoad9;58,31;28,5;7,1;229,6;1;0;0;0;4,644;5,754;1,615
tLoad17;58,31;14,7;6,8;236,2;1;0;0;0;6,278;6,455;1,784
tLoad23;58,31;14,3;7,2;251,8;1;0;0;0;6,637;7,051;2,005
tLoad7;58,31;22,9;7,5;233,3;1;0;0;0;5,455;5,739;1,738
tLoad15;58,31;28,7;7,6;248,9;1;0;0;0;5,554;6,371;1,867
tLoad21;58,31;14,4;3,7;244,1;1;0;0;0;6,094;6,453;1,956
tLoad5;58,31;22,4;4,6;225,3;1;0;0;0;4,931;5;1,592
tLoad13;58,31;28,5;4,2;238,3;1;0;0;0;5,239;5,838;1,811
tLoad3;58,31;23,3;10,3;230,2;1;0;0;0;4,707;5,416;1,662
tLoad11;58,31;28,1;10,5;237,8;1;0;0;0;5,214;6,368;1,81
tLoad1;58,31;21,7;8,5;223;1;0;0;0;4,231;4,714;1,588
