Nombre;Valor
bCogidaAux;True
bSimetrica;True
bFueraAntMesaA1;False
bOmitir_pAntCogida;False
bVentAux2;False
bVentLargo;False
bDejadaAux;True
bAlturaVolM1;False
bAnguloRecto;True
bColumna;False
bFromHome;True
bPosY_VolM1;False
bAnularFiltroVision3D;False
bVentAnillo;False
bPosDejadaAux;True
bPosCogidaAux;True
bModoSinConveyorTracking;False
bCorrecion;True
bGrande;False
bVentCorto;False
bDefecto;True
bEstrategia;False
bVentAux1;True
bAlcanceDes;False
bAlturaMod;False
bCicloAdelantado;False
bModoSinCamara3D;False
