Nombre;Valor
nAlturaCol;3249.41
nZ_Mesa;174.085
nTmpAntSopCaja;0
nTmpPosVacCaja;0
nTramo;1
nCota_X;768
nTipoEstrategia;3
nTiempoCiclo;8.245
nOffPosDejadaAux;30
nOffDejadaAux;30
nOffPosCogidaAux;30
nOffCogidaAux;40
nAngulo;0
nY_Ancho;350
nEstrategia;0
nTmpPosDejada;0.1
nTmpAntDejada;0
nTmpPosCogida;0
nTmpAntCogida;0
nRotacionDejada;0
nX_Largo;480
nZ_Alto;16
nAproxDejadaZ;0
nAnguloInclinacionZx2;0.373022
nY_Mesa;167.008
nRz_Mesa;-0.0539315
nRy_Mesa;0.0811096
nRx_Mesa;-0.0547607
nAproxDejadaY;0
nTmpPulsoSoplado;0.5
nMesaCiclo;1
nAnguloInclinacionZy2;0.493935
nFueraPosCnv;1
nFueraAntCnv;1
nTmpPosCogida2;0
nTmpPosSopVentosa;0
nAproxDejadaX;0
nCorrecionZ;0
nCorrecionRZ;0
nMargenRotZ;0
nAltoCaja;0
nFueraPosMesa;0
nFueraAntMesa;1
nCorrecionY;0
nCorrecionRY;0
nAnguloInclinacionZy;0
nX_Mesa;-1315.62
nOrientacionCogida;1
nOrientacionDejada;1
nOffPosDejada;130
nOffAntDejada;60
nOffPosCogida;60
nOffAntCogida;60
nMargenRotZ_2;5
nCorrecionX;0
nCota_Y;580
nCorrecionRX;0
nAnguloInclinacionZx;0
