Nombre;Robax.Rax_1;Robax.Rax_2;Robax.Rax_3;Robax.Rax_4;Robax.Rax_5;Robax.Rax_6;Extax.Eax_a;Extax.Eax_b;Extax.Eax_c;Extax.Eax_d;Extax.Eax_e;Extax.Eax_f
pCalibracion;0;0;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
pSincronizacion;0;0;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
pHomeM1;90;-19,7641;10,4379;0;99,3465;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pZero;0;0;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pTransporte;0;-45;75;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
pFueraServicio;-90;-5,1329;10,5856;-0,0970709;84,3606;0,0818789;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
lcl_jointtarget;106,172;31,8132;35,2242;0,193464;22,709;15,5425;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pHome;0;-19,764;10,4356;0;99,3466;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pMantenimientoT1;-170,215;7,34062;-13,9028;-0,0189716;96,5822;-4,70022;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;1124530
pMantenimiento;-170,214;6,99779;13,6242;0,00785334;69,3968;-171,576;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;1,11543E+07
pHomeM2;-90;-19,7642;10,4379;0;99,3466;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
