Nombre;Valor
rxMin;170
nY_Neg_bL_On;417.5
nY_Pos_bC_On;317.5
nLimitePiezasFinas;10
nDistTriggSupCog;445.183
nY_Neg_bL_Off;304.8
nY_Pos_bC_Off;242.37
nRadioCol;1200
nAtaqueY;0
nCoefAccConPieza;100
nCoefAccSinPieza;100
nAlturaVolM1;900
xMax;1900
nCorrecionRZ_M1;0
nCorrecionRY_M1;0
nCorrecionRX_M1;0
nCorrecionZ_M1;0
nCorrecionY_M1;0
nCorrecionX_M1;0
nCotaYVolM1;400
nAlturaInclinacion2;40.0543
ryMin;350
nX_Pos;370
nAnchoRodillos;930
ryMax;10
nPasoColision;5
nDiferenciaZ;-8.40082
nAtaqueX;0
nTiempoSuccion;0.105
rzMin;0
nCoefErrorRef;0.75
nAnguloInclinacionY;2.98389
nDiferenciaY;1084.24
nDistanciaPuntos;2789.97
nFinCalib;26
nTimeOutIntCaida;0.3
nAnguloInclinacionX;3.95081
nPasoBusqueda;2
nDiferenciaX;1705.73
nAnguloInclinacionX2;3.95617
zMin;-50
nOffsetAlturaCaja;-5
YMin;-100
xMin;100
nRadioDef;1000
nAlturaMinimaEntradaPale;750
nCoeficiente;0.33
nTiempoSoplado;0.116
nOffDejadaZ;0
nMargenAlturaCogidaMin;10
rxMax;190
nTiempoMov;2.81815
nLimiteCinta;765
nAnguloInclinacionY2;2.991
nTmpVelFueraPosMesa;0.25
nTmpVelDejadaAux1;0.25
nTmpVelCogidaAux1;0.25
nRotBrazos;1
nOffDejadaY;0
nTmpVelFueraAntCnv1;0.25
rzMax;360
nX_Neg;370
nOffOrientCol;-20
nAlturaInclinacion;40
zMax;1300
nOffsetSalidaMesa;200
nOffCogidaAuxMin;40
nOffsetEnlaceMesa2;565.603
nRot_bCorto;1
nRot_bLargo;1.4
nSupDejada;60
nSupCogida;60
nLimite;0
nMargenColisionCogida;7
nMargenAlturaCogida;10
nSupDef;150
nOffDejadaX;0
nCoefAccSalidaCogida;100
nBackOff;20
nIniCalib;1
nAltura_pAntDejada;78
yMax;1100
nCorrecionRZ_M2;0
nCorrecionRY_M2;0
nCorrecionRX_M2;0
nCorrecionZ_M2;0
nCorrecionY_M2;0
nCorrecionX_M2;0
