Nombre;Trans.X;Trans.Y;Trans.Z;Rot.Q1;Rot.Q2;Rot.Q3;Rot.Q4;Robconf.Cf1;Robconf.Cf4;Robconf.Cf6;Robconf.Cfx;Extax.Eax_a;Extax.Eax_b;Extax.Eax_c;Extax.Eax_d;Extax.Eax_e;Extax.Eax_f
p1_lum;813,27;1657,48;104,75;0,156227;-0,744637;0,608747;0,224804;0;-2;1;1;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
p2_placa;720,75;2028,29;1081,6;0,482167;-0,499699;0,502719;0,514868;0;-1;0;1;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
pPosCam2D10;600,63;2034,66;1054,34;0,650004;-0,426906;0,188795;0,599669;0;-1;0;1;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
pPosCam2D;677,97;2014,1;1029,97;0,650038;-0,426892;0,188741;0,599659;0;-1;0;1;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;24,2136
p3_lum10;760,93;1656,22;106,71;0,0161983;0,695833;-0,717905;-0,0129186;0;-2;1;1;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
p2_lum;717,56;2075,88;104,29;0,156133;-0,744622;0,608801;0,224771;0;-2;1;1;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
p1_placa;721,67;2027,72;1132,37;0,482166;-0,499699;0,502722;0,514866;0;-1;0;1;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
p3_lum20;715,82;1645,18;105,6;0,0161944;0,695832;-0,717906;-0,0129186;0;-2;1;1;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
p3_placa;636,29;2028,45;1082,25;0,482131;-0,499708;0,502803;0,514811;0;-1;0;1;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
p3_lum;767,29;1647,15;106,12;0,156108;-0,744563;0,608866;0,224807;0;-2;1;1;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
