Nombre;Finep;Pzone_tcp;Pzone_ori;Pzone_eax;Zone_ori;Zone_leax;Zone_reax
zAntDejadaM1;False;100;150;150;15;150;15
zAntCogidaM1;False;100;150;150;15;150;15
zCogidaM1;True;0;0;0;0;0;0
zCogidaAux1M1;False;50;75;75;7,5;75;7,5
zDejadaM1;True;0;0;0;0;0;0
zDejadaAux3M1;False;10;15;15;1,5;15;1,5
zDejadaAux2M1;False;10;15;15;1,5;15;1,5
zDejadaAux1M1;False;10;15;15;1,5;15;1,5
zFueraPosCnvM1;False;200;300;300;30;300;30
zFueraAntCnvM1;False;200;300;300;30;300;30
zFueraPosMesaM1;False;200;300;300;30;300;30
zFueraAntMesaM1;False;200;300;300;30;300;30
zPosDejadaM1;False;100;150;150;15;150;15
zPosDejadaAux1M1;False;50;75;75;7,5;75;7,5
zPosCogidaM1;False;100;150;150;15;150;15
zPosCogidaAux1M1;False;50;75;75;7,5;75;7,5
