Nombre;Trans.X;Trans.Y;Trans.Z;Rot.Q1;Rot.Q2;Rot.Q3;Rot.Q4;Robconf.Cf1;Robconf.Cf4;Robconf.Cf6;Robconf.Cfx;Extax.Eax_a;Extax.Eax_b;Extax.Eax_c;Extax.Eax_d;Extax.Eax_e;Extax.Eax_f
pDejada2;-825;5,50001;68,5;1;1,31704E-09;0;0;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pDejadaAux5;-825;5,50001;71,5;1;1,31704E-09;0;0;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pDejadaAux1;-480;0;32;1;0;0;0;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pAntCogidaAux1;-428,893;400;947,879;0,00832212;-0,704569;0,709585;0,00149604;0;0;0;0;0;0;0;0;0;0
pTrans;-441,5;824;125;4,32964E-17;0,707107;-0,707107;-4,32964E-17;0;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pPosDejada;1521,56;15;162;1;0;0;0;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pDejadaAux4;-815;5,50001;71,5;1;1,31704E-09;0;0;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pPosCogida;-965,482;341,662;216,422;0,000477544;1;-0,000470302;-0,000708039;1;0;0;0;0;0;0;0;0;0
pDejada;-480;0;32;1;0;0;0;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pDejadaAux3;-815;5,50001;71,5;0,999406;0,0344705;0;0;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraPosMesa;793,785;350;750;0,707107;4,32964E-17;-4,32964E-17;-0,707107;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraAntMesa;250;50;815,714;0;-1;0;0;0;-1;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraAnt2Cnv1_Aux1;0,26762;1399;128,907;1;-1,04014E-05;-2,80153E-05;-0,000122155;0;0;-1;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraAntCnv1_Aux1;-1265;830;103,62;1;0;0;0;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pCogidaAux1;350;175;23;6,12303E-17;1;0;0;1;0;0;0;0;0;0;0;0;0
pFueraAntMesaA1;350;50;815,714;0;-1;0;0;0;-1;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pDejadaAux6;-7;4;80;0,00135464;-0,99756;-0,0202291;0,0668012;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraPosCnv1;0;23,152;94,4018;0;1;0;0;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraAnt2Cnv1;0,27187;1399;112,5;1;-1,03167E-05;-2,80811E-05;-0,000125394;0;0;-1;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraAntCnv1;-480;-1,13687E-13;95,6105;1;0;0;0;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pDejadaAux2;-815;5,50001;68,5;0,999406;0,0344705;0;0;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pCogida;350;175;-17;6,12303E-17;1;0;0;1;0;0;0;0;0;0;0;0;0
pAntDejada;-480;0;50,6105;1;0;0;0;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pAntCogida;-965,482;341,662;750;0,000477544;1;-0,000470302;-0,000708039;1;0;0;0;0;0;0;0;0;0
pPosDejadaAux1;-480;0;62;1;0;0;0;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pPosCogidaAux1;350;175;13;6,12303E-17;1;0;0;1;0;0;0;0;0;0;0;0;0
