Nombre;Finep;Pzone_tcp;Pzone_ori;Pzone_eax;Zone_ori;Zone_leax;Zone_reax
zPosDejada;False;100;150;150;15;150;15
zPosCogida;False;100;150;150;15;150;15
zFueraAntCnvAux;False;10;15;15;1,5;15;1,5
zDejadaAux1;False;10;15;15;1,5;15;1,5
zDejada;True;0;0;0;0;0;0
zDejadaAux2;False;10;15;15;1,5;15;1,5
zTest;False;1;1;1;0,1;1;0,1
zDejadaAux3;False;10;15;15;1,5;15;1,5
zFueraPosMesa;False;200;300;300;30;300;30
zFueraAntMesa;False;100;150;150;15;150;15
zFueraPosCnv;False;200;300;300;30;300;30
zFueraAntCnv;False;200;300;300;30;300;30
zCogida;True;0;0;0;0;0;0
zAntDejada;False;100;150;150;15;150;15
zAntCogida;False;100;150;150;15;150;15
zCogidaAux1;False;50;75;75;7,5;75;7,5
zPosDejadaAux1;False;50;75;75;7,5;75;7,5
zPosCogidaAux1;False;50;75;75;7,5;75;7,5
