Nombre;V_tcp;V_ori;V_leax;V_reax
vAntDejadaM1;800;500;5000;1000
vAntCogidaM1;3000;500;5000;1000
vCogidaM1;500;500;5000;1000
vCogidaAux1M1;1000;500;5000;1000
vDejadaM1;200;10;5000;1000
vDejadaAux3M1;200;10;5000;1000
vDejadaAux2M1;200;10;5000;1000
vDejadaAux1M1;200;10;5000;1000
vFueraPosCnvM1;3000;500;5000;1000
vFueraAntCnvM1;3000;500;5000;1000
vFueraPosMesaM1;3000;500;5000;1000
vFueraAntMesaM1;3000;500;5000;1000
vPosDejadaM1;1000;500;5000;1000
vPosDejadaAux1M1;500;500;5000;1000
vPosCogidaM1;1000;500;5000;1000
vPosCogidaAux1M1;30;500;5000;1000
