Nombre;Trans.X;Trans.Y;Trans.Z;Rot.Q1;Rot.Q2;Rot.Q3;Rot.Q4;Robconf.Cf1;Robconf.Cf4;Robconf.Cf6;Robconf.Cfx;Extax.Eax_a;Extax.Eax_b;Extax.Eax_c;Extax.Eax_d;Extax.Eax_e;Extax.Eax_f
pM2_3;350;920;150;0,975702;0,000154311;-0,00336505;0,219075;-1;0;-2;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_3;-1250;499,97;149,99;0,709947;-0,00136472;-0,00167394;-0,704252;1;-1;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM2_10;850;920;600;0,999988;0,000906488;-0,00324789;0,00364819;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_10;-750;130;600;0,708284;-0,0017369;0,000494501;-0,705926;1;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM2_25;850;160;1250;0,704512;-0,00167077;-0,00290213;0,709685;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_25;-750;860;1250;0,999997;-0,000888878;0,00157843;0,00166066;1;0;-1;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM2_6;350;560;150;0,949706;-0,00116192;-0,003517;0,313122;-2;-1;-2;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_6;-1250;860;150;0,999997;-0,000884188;0,00157524;0,00166335;1;0;-1;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM2_13;850;560;600;0,999988;0,000906488;-0,00324789;0,00364819;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_13;-750;500;600;0,999997;-0,000886951;0,0015784;0,00166412;1;0;-1;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraPosMesa_2;1000;0;1350;0;0;-1;0;0;0;1;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraAntM2_2;-299,99;50;1350;2,54953E-06;-0,707105;0,707108;-1,17325E-06;-1;-1;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraAntM1_2;250;50;1350;0;0,707107;-0,707107;0;0;0;-1;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM2_9;1350;920;600;0,999988;0,000906488;-0,00324789;0,00364819;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_9;-1250;130;600;0,70828;-0,00173694;0,000496742;-0,70593;1;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM2_16;850;160;600;0,704512;-0,00167077;-0,00290213;0,709685;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_16;-750;860;600;0,999997;-0,000888878;0,00157843;0,00166066;1;0;-1;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM2_21;1350;560;1250;0,999988;0,000906488;-0,00324789;0,00364819;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_21;-1250;500;1250;0,999997;-0,000876951;0,00157945;0,0016617;1;0;-1;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM2_2;850;920;150;0,999988;0,000906488;-0,00324789;0,00364819;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_2;-750;130;150;0,708284;-0,0017369;0,000494501;-0,705926;1;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM2_19;850;920;1250;0,999988;0,000906488;-0,00324789;0,00364819;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_19;-750;130;1250;0,708284;-0,0017369;0,000494501;-0,705926;1;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM2_24;1350;160;1250;0,704507;-0,00166602;-0,00290186;0,709689;-2;0;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_24;-1250;860;1250;0,999997;-0,000884188;0,00157524;0,00166335;1;0;-1;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM2_5;850;559,86;149,92;0,715291;0,000454735;-0,000764815;0,698826;-2;-1;-3;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pM1_5;-250;500;150;0,999997;-0,000885045;0,00158351;0,00166098;0;0;-2;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraAntCNV1_1;-1265;830;265;1;0;0;0;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pFueraPosMesa_1;1000;0;1350;0;0,707107;-0,707107;0;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
